fecha,producto,categoria,cantidad,precio_unitario
2024-01-01,Mouse Logitech,Electrónica,5,2500
2024-01-02,Shampoo Dove,Higiene,3,900
2024-01-03,Cargador USB-C,Electrónica,,1800
2024-01-04,Jabón Lux,Higiene,6,
2024-01-05,Notebook HP,Electrónica,1,150000
2024-01-06,Monitor LG 24'',Electrónica,2,75000
2024-01-07,Crema Nivea,Higiene,4,1200
2024-01-08,Teclado Redragon,Electrónica,3,4000
2024-01-09,Perfume Axe,Higiene,2,3000
2024-01-10,Webcam Genius,Electrónica,1,9500
2024-01-11,,Electrodomésticos,2,8500
2024-01-11,Secador Philips,Electrodomésticos,2,8500
2024-01-12,Mousepad Redragon,Electrónica,6,1200
,Mousepad Redragon,Electrónica,6,1200
2024-01-13,Shampoo Sedal,Higiene,5,800
2024-01-14,Notebook Lenovo,Electrónica,1,145000
,Plancha Philips,Electrodomésticos,1,9500
2024-01-16,Monitor Samsung 27'',Electrónica,1,99000
2024-01-17,Desodorante Rexona,Higiene,4,1500
2024-01-18,Hub USB 3.0,Electrónica,3,2200
2024-01-19,Mouse Genius,Electrónica,4,2000
2024-01-20,Jabón Rexona,,6,550
2024-01-21,Crema Dove,Higiene,3,1300
2024-01-22,Cámara de Seguridad TP-Link,Electrónica,1,115000
2024-01-23,Notebook Asus,Electrónica,1,152000
2024-01-24,Shampoo Head & Shoulders,Higiene,2,1100
2024-01-25,Cargador Inalámbrico,Electrónica,2,4500
2024-01-26,Monitor AOC 22'',Electrónica,2,68000
2024-01-27,Mouse Logitech MX,Electrónica,1,8900
2024-01-28,Perfume Natura,Higiene,2,4200
2024-01-29,Afeitadora Philips,Electrodomésticos,1,11000
2024-01-30,Teclado Logitech,Electrónica,3,4700
2024-01-31,Shampoo Pantene,Higiene,4,950
2024-02-01,Cámara Web Logitech,Electrónica,1,10500
2024-02-02,Mouse Redragon,Electrónica,2,3800
2024-02-03,Jabón Dove,Higiene,5,520
2024-02-04,Monitor LG UltraWide,Electrónica,1,132000
2024-02-05,Teclado Inalámbrico Genius,Electrónica,2,4900
